epoch,input_type,metric_name,layer,value
0,train,loss,,4.718676064513518
0,test,loss,,4.729304243777301
0,train,accuracy,,0.02036420628428459
0,test,accuracy,,0.015922734513878822
0,general,weights_l2,layers.0.weight,8.413579940795898
0,general,weights_l2,layers.1.weight,8.408646583557129
0,general,weights_l2,layers.2.weight,6.287240028381348
0,train,zero_terms,,0.0
0,train,softmax_collapse,,0.0
1,train,loss,,0.0006946372349902293
1,test,loss,,8.18148456483855
1,train,accuracy,,1.0
1,test,accuracy,,0.01683633401989937
1,general,weights_l2,layers.0.weight,259.903076171875
1,general,weights_l2,layers.1.weight,216.95718383789062
1,general,weights_l2,layers.2.weight,135.6913604736328
1,train,zero_terms,,0.0
1,train,softmax_collapse,,1.0
2,train,loss,,9.36367478600715e-05
2,test,loss,,8.806477000580909
2,train,accuracy,,1.0
2,test,accuracy,,0.017749933525919914
2,general,weights_l2,layers.0.weight,356.51263427734375
2,general,weights_l2,layers.1.weight,299.420654296875
2,general,weights_l2,layers.2.weight,186.47471618652344
2,train,zero_terms,,0.0
2,train,softmax_collapse,,1.0
3,train,loss,,1.377870381520335e-05
3,test,loss,,9.259160117337544
3,train,accuracy,,1.0
3,test,accuracy,,0.018794048577547073
3,general,weights_l2,layers.0.weight,482.11376953125
3,general,weights_l2,layers.1.weight,407.1352233886719
3,general,weights_l2,layers.2.weight,252.60655212402344
3,train,zero_terms,,0.0
3,train,softmax_collapse,,1.0
4,train,loss,,2.041313838185691e-06
4,test,loss,,9.510974218524316
4,train,accuracy,,1.0
4,test,accuracy,,0.02179587446153164
4,general,weights_l2,layers.0.weight,651.1412353515625
4,general,weights_l2,layers.1.weight,552.861083984375
4,general,weights_l2,layers.2.weight,341.7401123046875
4,train,zero_terms,,0.0
4,train,softmax_collapse,,1.0
5,train,loss,,3.0212255001645514e-07
5,test,loss,,9.59005126420424
5,train,accuracy,,1.0
5,test,accuracy,,0.02610284462571144
5,general,weights_l2,layers.0.weight,878.7282104492188
5,general,weights_l2,layers.1.weight,750.0401000976562
5,general,weights_l2,layers.2.weight,461.91375732421875
5,train,zero_terms,,0.0
5,train,softmax_collapse,,1.0
6,train,loss,,4.459258641172897e-08
6,test,loss,,9.46781862889085
6,train,accuracy,,1.0
6,test,accuracy,,0.037196554243564606
6,general,weights_l2,layers.0.weight,1184.3121337890625
6,general,weights_l2,layers.1.weight,1015.5870971679688
6,general,weights_l2,layers.2.weight,623.4923095703125
6,train,zero_terms,,0.0
6,train,softmax_collapse,,1.0
7,train,loss,,6.558823598513404e-09
7,test,loss,,9.005465669451077
7,train,accuracy,,1.0
7,test,accuracy,,0.06199425458908081
7,general,weights_l2,layers.0.weight,1592.664306640625
7,general,weights_l2,layers.1.weight,1370.0001220703125
7,general,weights_l2,layers.2.weight,839.4166259765625
7,train,zero_terms,,0.0
7,train,softmax_collapse,,1.0
8,train,loss,,9.664481298743952e-10
8,test,loss,,8.251347573423114
8,train,accuracy,,1.0
8,test,accuracy,,0.11406943202018738
8,general,weights_l2,layers.0.weight,2134.989013671875
8,general,weights_l2,layers.1.weight,1837.899658203125
8,general,weights_l2,layers.2.weight,1126.0928955078125
8,train,zero_terms,,0.0
8,train,softmax_collapse,,1.0
9,train,loss,,1.436914805207407e-10
9,test,loss,,6.959890916751861
9,train,accuracy,,1.0
9,test,accuracy,,0.21821977198123932
9,general,weights_l2,layers.0.weight,2852.689697265625
9,general,weights_l2,layers.1.weight,2449.81396484375
9,general,weights_l2,layers.2.weight,1504.9852294921875
9,train,zero_terms,,0.0
9,train,softmax_collapse,,1.0
10,train,loss,,2.175152482496873e-11
10,test,loss,,5.400795794342453
10,train,accuracy,,1.0
10,test,accuracy,,0.37483683228492737
10,general,weights_l2,layers.0.weight,3797.48095703125
10,general,weights_l2,layers.1.weight,3243.65185546875
10,general,weights_l2,layers.2.weight,2005.010009765625
10,train,zero_terms,,0.0
10,train,softmax_collapse,,1.0
11,train,loss,,3.3852594813103615e-12
11,test,loss,,3.7492424588664175
11,train,accuracy,,1.0
11,test,accuracy,,0.5724353790283203
11,general,weights_l2,layers.0.weight,5033.7001953125
11,general,weights_l2,layers.1.weight,4267.51123046875
11,general,weights_l2,layers.2.weight,2666.560791015625
11,train,zero_terms,,0.0
11,train,softmax_collapse,,1.0
12,train,loss,,5.46645925879712e-13
12,test,loss,,2.4187077948123843
12,train,accuracy,,1.0
12,test,accuracy,,0.7474549412727356
12,general,weights_l2,layers.0.weight,6634.1357421875
12,general,weights_l2,layers.1.weight,5585.5888671875
12,general,weights_l2,layers.2.weight,3546.7099609375
12,train,zero_terms,,0.0
12,train,softmax_collapse,,1.0
13,train,loss,,9.240586017578026e-14
13,test,loss,,1.5152083454718033
13,train,accuracy,,1.0
13,test,accuracy,,0.8552597165107727
13,general,weights_l2,layers.0.weight,8676.9599609375
13,general,weights_l2,layers.1.weight,7281.40869140625
13,general,weights_l2,layers.2.weight,4721.21142578125
13,train,zero_terms,,0.0
13,train,softmax_collapse,,1.0
14,train,loss,,1.6552344856896413e-14
14,test,loss,,0.9861860281667216
14,train,accuracy,,1.0
14,test,accuracy,,0.9222134947776794
14,general,weights_l2,layers.0.weight,11251.4619140625
14,general,weights_l2,layers.1.weight,9461.91796875
14,general,weights_l2,layers.2.weight,6281.81201171875
14,train,zero_terms,,0.0
14,train,softmax_collapse,,1.0
15,train,loss,,3.1510377276354577e-15
15,test,loss,,0.7178190542231618
15,train,accuracy,,1.0
15,test,accuracy,,0.9509266018867493
15,general,weights_l2,layers.0.weight,14447.2060546875
15,general,weights_l2,layers.1.weight,12246.4658203125
15,general,weights_l2,layers.2.weight,8324.2119140625
15,train,zero_terms,,0.0
15,train,softmax_collapse,,1.0
16,train,loss,,6.361554017937335e-16
16,test,loss,,0.6066559132175058
16,train,accuracy,,1.0
16,test,accuracy,,0.9651526808738708
16,general,weights_l2,layers.0.weight,18078.6484375
16,general,weights_l2,layers.1.weight,15637.5146484375
16,general,weights_l2,layers.2.weight,10915.5009765625
16,train,zero_terms,,0.0
16,train,softmax_collapse,,1.0
17,train,loss,,1.7032695120301745e-16
17,test,loss,,0.5821923485371434
17,train,accuracy,,1.0
17,test,accuracy,,0.9806838631629944
17,general,weights_l2,layers.0.weight,20228.052734375
17,general,weights_l2,layers.1.weight,17963.603515625
17,general,weights_l2,layers.2.weight,13520.69140625
17,train,zero_terms,,0.14176620325044056
17,train,softmax_collapse,,1.0
18,train,loss,,7.700039070339347e-17
18,test,loss,,0.7849668967268414
18,train,accuracy,,1.0
18,test,accuracy,,0.9881231784820557
18,general,weights_l2,layers.0.weight,21173.546875
18,general,weights_l2,layers.1.weight,19021.8671875
18,general,weights_l2,layers.2.weight,14895.439453125
18,train,zero_terms,,0.3501076953201488
18,train,softmax_collapse,,1.0
19,train,loss,,5.302200816645304e-17
19,test,loss,,0.8619568947753559
19,train,accuracy,,1.0
19,test,accuracy,,0.9904724359512329
19,general,weights_l2,layers.0.weight,21798.884765625
19,general,weights_l2,layers.1.weight,19715.56640625
19,general,weights_l2,layers.2.weight,15771.73046875
19,train,zero_terms,,0.5239866849422361
19,train,softmax_collapse,,1.0
