epoch,input_type,metric_name,layer,value
0,train,loss,,4.726675987243652
0,test,loss,,4.727728843688965
0,train,accuracy,,0.009790483862161636
0,test,accuracy,,0.007439310662448406
0,general,weights_l2,layers.0.weight,8.173734664916992
0,general,weights_l2,layers.1.weight,8.17491626739502
0,general,weights_l2,layers.2.weight,6.124390125274658
0,train,zero_terms,,0.0
0,train,softmax_collapse,,0.0
1,train,loss,,0.20596636831760406
1,test,loss,,12.033191680908203
1,train,accuracy,,1.0
1,test,accuracy,,0.00026102844276465476
1,general,weights_l2,layers.0.weight,46.035057067871094
1,general,weights_l2,layers.1.weight,49.073211669921875
1,general,weights_l2,layers.2.weight,40.30525207519531
1,train,zero_terms,,0.0
1,train,softmax_collapse,,0.0
2,train,loss,,0.003475488629192114
2,test,loss,,18.90572166442871
2,train,accuracy,,1.0
2,test,accuracy,,0.00039154267869889736
2,general,weights_l2,layers.0.weight,55.41246032714844
2,general,weights_l2,layers.1.weight,60.30897903442383
2,general,weights_l2,layers.2.weight,49.761959075927734
2,train,zero_terms,,0.0
2,train,softmax_collapse,,0.0
3,train,loss,,0.00017417711205780506
3,test,loss,,23.957582473754883
3,train,accuracy,,1.0
3,test,accuracy,,0.0007830853573977947
3,general,weights_l2,layers.0.weight,60.500850677490234
3,general,weights_l2,layers.1.weight,66.43646240234375
3,general,weights_l2,layers.2.weight,54.874549865722656
3,train,zero_terms,,0.0
3,train,softmax_collapse,,0.0
4,train,loss,,1.0183734048041515e-05
4,test,loss,,28.67875099182129
4,train,accuracy,,1.0
4,test,accuracy,,0.0013051421847194433
4,general,weights_l2,layers.0.weight,64.56780242919922
4,general,weights_l2,layers.1.weight,71.34051513671875
4,general,weights_l2,layers.2.weight,58.955780029296875
4,train,zero_terms,,0.0
4,train,softmax_collapse,,0.0
5,train,loss,,6.170076858325046e-07
5,test,loss,,33.180721282958984
5,train,accuracy,,1.0
5,test,accuracy,,0.001174628036096692
5,general,weights_l2,layers.0.weight,68.02733612060547
5,general,weights_l2,layers.1.weight,75.52108001708984
5,general,weights_l2,layers.2.weight,62.43010711669922
5,train,zero_terms,,0.0015664773839827687
5,train,softmax_collapse,,0.001958096632733941
6,train,loss,,9.628710273545948e-08
6,test,loss,,37.06768035888672
6,train,accuracy,,1.0
6,test,accuracy,,0.0013051421847194433
