epoch,input_type,metric_name,layer,value
0,train,loss,,4.726675987243652
0,test,loss,,4.727728843688965
0,train,accuracy,,0.009790483862161636
0,test,accuracy,,0.007439310662448406
0,general,weights_l2,layers.0.weight,8.173734664916992
0,general,weights_l2,layers.1.weight,8.17491626739502
0,general,weights_l2,layers.2.weight,6.124390125274658
0,train,zero_terms,,0.0
0,train,softmax_collapse,,0.0
1,train,loss,,0.2058146446943283
1,test,loss,,12.0410795211792
1,train,accuracy,,1.0
1,test,accuracy,,0.0005220568855293095
1,general,weights_l2,layers.0.weight,45.998985290527344
1,general,weights_l2,layers.1.weight,49.090614318847656
1,general,weights_l2,layers.2.weight,40.29786682128906
1,train,zero_terms,,0.0
1,train,softmax_collapse,,0.0
2,train,loss,,0.003478567348793149
2,test,loss,,18.93124771118164
2,train,accuracy,,1.0
2,test,accuracy,,0.0006525710923597217
2,general,weights_l2,layers.0.weight,55.38211441040039
2,general,weights_l2,layers.1.weight,60.34187316894531
2,general,weights_l2,layers.2.weight,49.75825500488281
2,train,zero_terms,,0.0
2,train,softmax_collapse,,0.0
3,train,loss,,0.0001741545565892011
3,test,loss,,23.977380752563477
3,train,accuracy,,1.0
3,test,accuracy,,0.0007830853573977947
3,general,weights_l2,layers.0.weight,60.4688835144043
3,general,weights_l2,layers.1.weight,66.47306060791016
3,general,weights_l2,layers.2.weight,54.87642288208008
3,train,zero_terms,,0.0
3,train,softmax_collapse,,0.0
4,train,loss,,1.0193853995588142e-05
4,test,loss,,28.705717086791992
4,train,accuracy,,1.0
4,test,accuracy,,0.0006525710923597217
4,general,weights_l2,layers.0.weight,64.53731536865234
4,general,weights_l2,layers.1.weight,71.38898468017578
4,general,weights_l2,layers.2.weight,58.96932601928711
4,train,zero_terms,,0.0
4,train,softmax_collapse,,0.0
5,train,loss,,6.404530950021581e-07
5,test,loss,,33.27627944946289
5,train,accuracy,,1.0
5,test,accuracy,,0.0006525710923597217
5,general,weights_l2,layers.0.weight,68.02352905273438
5,general,weights_l2,layers.1.weight,75.60369110107422
5,general,weights_l2,layers.2.weight,62.47416305541992
5,train,zero_terms,,0.0
5,train,softmax_collapse,,0.0
6,train,loss,,4.193648450723231e-08
6,test,loss,,37.725563049316406
6,train,accuracy,,1.0
6,test,accuracy,,0.0009135995642282069
