epoch,input_type,metric_name,layer,value
0,train,loss,,4.726900577545166
0,test,loss,,4.727824687957764
0,train,accuracy,,0.008745594881474972
0,test,accuracy,,0.009397024288773537
0,general,weights_l2,layers.0.weight,8.174346923828125
0,general,weights_l2,layers.1.weight,8.17501449584961
0,general,weights_l2,layers.2.weight,6.1237993240356445
0,train,zero_terms,,0.0
0,train,softmax_collapse,,0.0
1,train,loss,,0.3218271732330322
1,test,loss,,8.279555320739746
1,train,accuracy,,0.9981725811958313
1,test,accuracy,,0.007243539672344923
1,general,weights_l2,layers.0.weight,46.94750213623047
1,general,weights_l2,layers.1.weight,49.60753631591797
1,general,weights_l2,layers.2.weight,41.58480453491211
1,train,zero_terms,,0.0
1,train,softmax_collapse,,0.0
2,train,loss,,0.0032435781322419643
2,test,loss,,8.985150337219238
2,train,accuracy,,1.0
2,test,accuracy,,0.04463586583733559
2,general,weights_l2,layers.0.weight,55.45919418334961
2,general,weights_l2,layers.1.weight,60.084320068359375
2,general,weights_l2,layers.2.weight,50.39225769042969
2,train,zero_terms,,0.0
2,train,softmax_collapse,,0.0
3,train,loss,,0.0001484478998463601
3,test,loss,,8.921125411987305
3,train,accuracy,,1.0
3,test,accuracy,,0.08065779507160187
3,general,weights_l2,layers.0.weight,59.290931701660156
3,general,weights_l2,layers.1.weight,64.85797119140625
3,general,weights_l2,layers.2.weight,54.35855484008789
3,train,zero_terms,,0.0002610625244746117
3,train,softmax_collapse,,0.0002610625233501196
4,train,loss,,8.258962225227151e-06
4,test,loss,,8.665141105651855
4,train,accuracy,,1.0
4,test,accuracy,,0.1276429146528244
4,general,weights_l2,layers.0.weight,62.23863220214844
4,general,weights_l2,layers.1.weight,68.5594253540039
4,general,weights_l2,layers.2.weight,57.42877960205078
4,train,zero_terms,,0.0022190314580341993
4,train,softmax_collapse,,0.0023495627101510763
5,train,loss,,4.834346896132047e-07
5,test,loss,,8.326446533203125
5,train,accuracy,,1.0
5,test,accuracy,,0.1756068915128708
5,general,weights_l2,layers.0.weight,64.69924926757812
5,general,weights_l2,layers.1.weight,71.67115783691406
