epoch,input_type,metric_name,layer,value
0,train,loss,,4.7270026206970215
0,test,loss,,4.727819919586182
0,train,accuracy,,0.008167375810444355
0,test,accuracy,,0.010180109180510044
0,general,weights_l2,layers.0.weight,8.174010276794434
0,general,weights_l2,layers.1.weight,8.17453670501709
0,general,weights_l2,layers.2.weight,6.123414516448975
0,train,zero_terms,,0.0
0,train,softmax_collapse,,0.0
1,train,loss,,0.21873778104782104
1,test,loss,,5.303577899932861
1,train,accuracy,,0.9997762441635132
1,test,accuracy,,0.061080656945705414
1,general,weights_l2,layers.0.weight,46.884559631347656
1,general,weights_l2,layers.1.weight,48.63057327270508
1,general,weights_l2,layers.2.weight,40.900062561035156
1,train,zero_terms,,0.0
1,train,softmax_collapse,,0.0
2,train,loss,,0.00235153641551733
2,test,loss,,3.793506145477295
2,train,accuracy,,1.0
2,test,accuracy,,0.26520490646362305
2,general,weights_l2,layers.0.weight,53.77827072143555
2,general,weights_l2,layers.1.weight,57.06708908081055
2,general,weights_l2,layers.2.weight,48.00532150268555
2,train,zero_terms,,0.0
2,train,softmax_collapse,,0.0
3,train,loss,,0.00011055062350351363
3,test,loss,,2.974982738494873
3,train,accuracy,,1.0
3,test,accuracy,,0.4103367030620575
3,general,weights_l2,layers.0.weight,57.09109878540039
3,general,weights_l2,layers.1.weight,61.22099304199219
3,general,weights_l2,layers.2.weight,51.472808837890625
3,train,zero_terms,,0.0
3,train,softmax_collapse,,0.0
4,train,loss,,6.247041710594203e-06
4,test,loss,,2.352156639099121
4,train,accuracy,,1.0
4,test,accuracy,,0.5319759845733643
4,general,weights_l2,layers.0.weight,59.70972442626953
4,general,weights_l2,layers.1.weight,64.53995513916016
4,general,weights_l2,layers.2.weight,54.23415756225586
4,train,zero_terms,,0.0
4,train,softmax_collapse,,0.0
5,train,loss,,3.8243993571995816e-07
5,test,loss,,1.868437647819519
5,train,accuracy,,1.0
5,test,accuracy,,0.6209866404533386
5,general,weights_l2,layers.0.weight,61.94857406616211
5,general,weights_l2,layers.1.weight,67.39336395263672
5,general,weights_l2,layers.2.weight,56.60427474975586
5,train,zero_terms,,0.0
