epoch,input_type,metric_name,layer,value
0,train,loss,,4.820655822753906
0,test,loss,,4.914085388183594
0,train,accuracy,,0.013753238134086132
0,test,accuracy,,0.006111332681030035
0,general,weights_l2,embedding.weight,121.40267181396484
0,general,weights_l2,transformer.layers.0.self_attn.in_proj_weight,13.860690116882324
0,general,weights_l2,transformer.layers.0.self_attn.in_proj_bias,0.019442224875092506
0,general,weights_l2,transformer.layers.0.self_attn.out_proj.weight,6.52722692489624
0,general,weights_l2,transformer.layers.0.self_attn.out_proj.bias,0.011313709430396557
0,general,weights_l2,transformer.layers.0.linear1.weight,26.144506454467773
0,general,weights_l2,transformer.layers.0.linear1.bias,2.301706314086914
0,general,weights_l2,transformer.layers.0.linear2.weight,6.54274320602417
0,general,weights_l2,transformer.layers.0.linear2.bias,0.1410287320613861
0,general,weights_l2,transformer.layers.0.norm1.weight,11.313892364501953
0,general,weights_l2,transformer.layers.0.norm1.bias,0.011313709430396557
0,general,weights_l2,transformer.layers.0.norm2.weight,11.30239486694336
0,general,weights_l2,transformer.layers.0.norm2.bias,0.011313709430396557
0,general,weights_l2,linear.weight,6.131842613220215
0,general,weights_l2,linear.bias,0.5514601469039917
0,train,zero_terms,,0.0
0,train,softmax_collapse,,0.0
1,train,loss,,0.0023473005276173353
1,test,loss,,9.048542022705078
1,train,accuracy,,0.9999999403953552
1,test,accuracy,,0.0
1,general,weights_l2,embedding.weight,122.95272064208984
1,general,weights_l2,transformer.layers.0.self_attn.in_proj_weight,19.93107032775879
1,general,weights_l2,transformer.layers.0.self_attn.in_proj_bias,0.9122070074081421
1,general,weights_l2,transformer.layers.0.self_attn.out_proj.weight,9.127034187316895
1,general,weights_l2,transformer.layers.0.self_attn.out_proj.bias,0.30005908012390137
1,general,weights_l2,transformer.layers.0.linear1.weight,37.35689163208008
1,general,weights_l2,transformer.layers.0.linear1.bias,3.1593501567840576
1,general,weights_l2,transformer.layers.0.linear2.weight,18.190095901489258
1,general,weights_l2,transformer.layers.0.linear2.bias,0.1408402919769287
1,general,weights_l2,transformer.layers.0.norm1.weight,11.228997230529785
1,general,weights_l2,transformer.layers.0.norm1.bias,0.40256267786026
1,general,weights_l2,transformer.layers.0.norm2.weight,13.270983695983887
1,general,weights_l2,transformer.layers.0.norm2.bias,0.4615996778011322
1,general,weights_l2,linear.weight,17.63117790222168
1,general,weights_l2,linear.bias,0.606218695640564
1,train,zero_terms,,0.0
1,train,softmax_collapse,,0.0
2,train,loss,,0.0001770609087543562
2,test,loss,,10.384995460510254
2,train,accuracy,,0.9999999403953552
2,test,accuracy,,0.0003985651710536331
2,general,weights_l2,embedding.weight,123.11896514892578
2,general,weights_l2,transformer.layers.0.self_attn.in_proj_weight,20.4566650390625
2,general,weights_l2,transformer.layers.0.self_attn.in_proj_bias,1.0106604099273682
2,general,weights_l2,transformer.layers.0.self_attn.out_proj.weight,9.2086763381958
2,general,weights_l2,transformer.layers.0.self_attn.out_proj.bias,0.4753054976463318
2,general,weights_l2,transformer.layers.0.linear1.weight,39.496864318847656
2,general,weights_l2,transformer.layers.0.linear1.bias,3.6516547203063965
2,general,weights_l2,transformer.layers.0.linear2.weight,20.248973846435547
2,general,weights_l2,transformer.layers.0.linear2.bias,0.14070135354995728
2,general,weights_l2,transformer.layers.0.norm1.weight,11.148468017578125
2,general,weights_l2,transformer.layers.0.norm1.bias,0.7134653925895691
2,general,weights_l2,transformer.layers.0.norm2.weight,14.02126693725586
2,general,weights_l2,transformer.layers.0.norm2.bias,0.47551700472831726
2,general,weights_l2,linear.weight,20.94658660888672
2,general,weights_l2,linear.bias,0.6168579459190369
2,train,zero_terms,,0.0
2,train,softmax_collapse,,0.0
3,train,loss,,4.254550003679469e-05
3,test,loss,,11.350129127502441
3,train,accuracy,,0.9999999403953552
3,test,accuracy,,0.0003985651710536331
3,general,weights_l2,embedding.weight,123.13695526123047
3,general,weights_l2,transformer.layers.0.self_attn.in_proj_weight,20.61656379699707
3,general,weights_l2,transformer.layers.0.self_attn.in_proj_bias,1.052291750907898
3,general,weights_l2,transformer.layers.0.self_attn.out_proj.weight,9.2452392578125
3,general,weights_l2,transformer.layers.0.self_attn.out_proj.bias,0.5872400403022766
3,general,weights_l2,transformer.layers.0.linear1.weight,40.825443267822266
3,general,weights_l2,transformer.layers.0.linear1.bias,3.967827796936035
3,general,weights_l2,transformer.layers.0.linear2.weight,21.824979782104492
3,general,weights_l2,transformer.layers.0.linear2.bias,0.1425144076347351
3,general,weights_l2,transformer.layers.0.norm1.weight,11.095885276794434
3,general,weights_l2,transformer.layers.0.norm1.bias,0.9480625987052917
3,general,weights_l2,transformer.layers.0.norm2.weight,14.688874244689941
3,general,weights_l2,transformer.layers.0.norm2.bias,0.49271366000175476
3,general,weights_l2,linear.weight,23.10465431213379
3,general,weights_l2,linear.bias,0.6287438273429871
3,train,zero_terms,,0.0
3,train,softmax_collapse,,0.0
4,train,loss,,1.652898390602786e-05
4,test,loss,,12.142290115356445
4,train,accuracy,,0.9999999403953552
4,test,accuracy,,0.0002657101140357554
4,general,weights_l2,embedding.weight,123.10433197021484
4,general,weights_l2,transformer.layers.0.self_attn.in_proj_weight,20.674575805664062
