epoch,input_type,metric_name,layer,value
0,train,loss,,4.722309112548828
0,test,loss,,4.729558944702148
0,train,accuracy,,0.019972587004303932
0,test,accuracy,,0.007308796513825655
0,general,weights_l2,layers.0.weight,8.204761505126953
0,general,weights_l2,layers.1.weight,8.230403900146484
0,general,weights_l2,layers.2.weight,6.17128324508667
0,train,zero_terms,,0.0
0,train,softmax_collapse,,0.0
1,train,loss,,4.46742057800293
1,test,loss,,4.969165802001953
1,train,accuracy,,0.050323083996772766
1,test,accuracy,,0.0009135995642282069
1,general,weights_l2,layers.0.weight,11.02493953704834
1,general,weights_l2,layers.1.weight,11.3387451171875
1,general,weights_l2,layers.2.weight,8.531779289245605
1,train,zero_terms,,0.0
1,train,softmax_collapse,,0.0
2,train,loss,,4.106201171875
2,test,loss,,5.329484462738037
2,train,accuracy,,0.09046407043933868
2,test,accuracy,,0.0006525710923597217
2,general,weights_l2,layers.0.weight,15.21569538116455
2,general,weights_l2,layers.1.weight,14.695535659790039
2,general,weights_l2,layers.2.weight,10.956408500671387
2,train,zero_terms,,0.0
2,train,softmax_collapse,,0.0
3,train,loss,,3.870311975479126
3,test,loss,,5.341071605682373
3,train,accuracy,,0.16252201795578003
3,test,accuracy,,0.0007830853573977947
3,general,weights_l2,layers.0.weight,18.009639739990234
3,general,weights_l2,layers.1.weight,16.189464569091797
3,general,weights_l2,layers.2.weight,11.783026695251465
3,train,zero_terms,,0.0
3,train,softmax_collapse,,0.0
4,train,loss,,3.6853482723236084
4,test,loss,,5.102994918823242
4,train,accuracy,,0.22459368407726288
4,test,accuracy,,0.002349256072193384
4,general,weights_l2,layers.0.weight,19.330242156982422
4,general,weights_l2,layers.1.weight,16.680932998657227
4,general,weights_l2,layers.2.weight,12.185528755187988
4,train,zero_terms,,0.0
4,train,softmax_collapse,,0.0
5,train,loss,,3.126478910446167
5,test,loss,,3.810638904571533
5,train,accuracy,,0.3649892210960388
5,test,accuracy,,0.056512657552957535
5,general,weights_l2,layers.0.weight,19.56610870361328
5,general,weights_l2,layers.1.weight,16.643718719482422
5,general,weights_l2,layers.2.weight,13.623270034790039
5,train,zero_terms,,0.0
5,train,softmax_collapse,,0.0
6,train,loss,,2.332366704940796
6,test,loss,,2.5135085582733154
6,train,accuracy,,0.6281574368476868
6,test,accuracy,,0.46123725175857544
6,general,weights_l2,layers.0.weight,20.564281463623047
6,general,weights_l2,layers.1.weight,18.07717514038086
6,general,weights_l2,layers.2.weight,15.672378540039062
6,train,zero_terms,,0.0
6,train,softmax_collapse,,0.0
7,train,loss,,1.9182780981063843
7,test,loss,,2.064574718475342
7,train,accuracy,,0.7726649641990662
7,test,accuracy,,0.6678412556648254
7,general,weights_l2,layers.0.weight,22.641233444213867
7,general,weights_l2,layers.1.weight,19.416223526000977
7,general,weights_l2,layers.2.weight,16.8486328125
7,train,zero_terms,,0.0
7,train,softmax_collapse,,0.0
8,train,loss,,1.4739116430282593
8,test,loss,,1.6100443601608276
8,train,accuracy,,0.9259839057922363
8,test,accuracy,,0.8878882527351379
8,general,weights_l2,layers.0.weight,24.548992156982422
8,general,weights_l2,layers.1.weight,20.654130935668945
8,general,weights_l2,layers.2.weight,17.732641220092773
8,train,zero_terms,,0.0
8,train,softmax_collapse,,0.0
9,train,loss,,1.2271101474761963
9,test,loss,,1.3556091785430908
9,train,accuracy,,0.9696494936943054
9,test,accuracy,,0.9433568120002747
9,general,weights_l2,layers.0.weight,25.826250076293945
9,general,weights_l2,layers.1.weight,21.426713943481445
9,general,weights_l2,layers.2.weight,18.58802604675293
9,train,zero_terms,,0.0
9,train,softmax_collapse,,0.0
10,train,loss,,1.1347030401229858
10,test,loss,,1.259251594543457
10,train,accuracy,,0.978265106678009
10,test,accuracy,,0.9554946422576904
10,general,weights_l2,layers.0.weight,26.42230987548828
10,general,weights_l2,layers.1.weight,21.791173934936523
10,general,weights_l2,layers.2.weight,18.889684677124023
10,train,zero_terms,,0.0
10,train,softmax_collapse,,0.0
11,train,loss,,1.075188398361206
11,test,loss,,1.1962652206420898
11,train,accuracy,,0.98433518409729
11,test,accuracy,,0.9639780521392822
11,general,weights_l2,layers.0.weight,26.795995712280273
11,general,weights_l2,layers.1.weight,22.07645606994629
11,general,weights_l2,layers.2.weight,19.054580688476562
11,train,zero_terms,,0.0
11,train,softmax_collapse,,0.0
12,train,loss,,1.028069257736206
12,test,loss,,1.1453362703323364
12,train,accuracy,,0.9909927248954773
12,test,accuracy,,0.976115882396698
12,general,weights_l2,layers.0.weight,27.09357261657715
12,general,weights_l2,layers.1.weight,22.310884475708008
12,general,weights_l2,layers.2.weight,19.187772750854492
12,train,zero_terms,,0.0
12,train,softmax_collapse,,0.0
13,train,loss,,0.9924070239067078
13,test,loss,,1.1081842184066772
13,train,accuracy,,0.9945173263549805
13,test,accuracy,,0.9799007773399353
13,general,weights_l2,layers.0.weight,27.32684898376465
13,general,weights_l2,layers.1.weight,22.503238677978516
