epoch,input_type,metric_name,layer,value
0,train,loss,,4.727028269255682
0,test,loss,,4.727616334016102
0,train,accuracy,,0.009203054010868073
0,test,accuracy,,0.007439310662448406
0,general,weights_l2,layers.0.weight,8.173326741019604
0,general,weights_l2,layers.1.weight,8.174480846055896
0,general,weights_l2,layers.2.weight,6.123183685582166
0,train,zero_terms,,0.0
0,train,softmax_collapse,,0.0
1,train,loss,,4.7015919312990055
1,test,loss,,4.751721104047683
1,train,accuracy,,0.016643822193145752
1,test,accuracy,,0.0057426257990300655
1,general,weights_l2,layers.0.weight,8.317710308591971
1,general,weights_l2,layers.1.weight,8.310470554584423
1,general,weights_l2,layers.2.weight,6.311478224587513
1,train,zero_terms,,0.0
1,train,softmax_collapse,,0.0
2,train,loss,,4.6254434422995265
2,test,loss,,4.802487347432557
2,train,accuracy,,0.035833168774843216
2,test,accuracy,,0.0018271991284564137
2,general,weights_l2,layers.0.weight,8.960139849257155
2,general,weights_l2,layers.1.weight,8.819639534827354
2,general,weights_l2,layers.2.weight,7.053274012523811
2,train,zero_terms,,0.0
2,train,softmax_collapse,,0.0
3,train,loss,,4.440011334891763
3,test,loss,,4.958744807200466
3,train,accuracy,,0.03348345309495926
3,test,accuracy,,0.0016966848634183407
3,general,weights_l2,layers.0.weight,11.038334239345318
3,general,weights_l2,layers.1.weight,10.874525880573177
3,general,weights_l2,layers.2.weight,8.996231546322374
3,train,zero_terms,,0.0
3,train,softmax_collapse,,0.0
4,train,loss,,4.370924077653593
4,test,loss,,4.976712247309169
4,train,accuracy,,0.04092422127723694
4,test,accuracy,,0.0016966848634183407
4,general,weights_l2,layers.0.weight,12.445379012790132
4,general,weights_l2,layers.1.weight,11.447315034607927
4,general,weights_l2,layers.2.weight,9.467344823932935
4,train,zero_terms,,0.0
4,train,softmax_collapse,,0.0
5,train,loss,,4.338386155955448
5,test,loss,,4.972071223217038
5,train,accuracy,,0.04836498945951462
5,test,accuracy,,0.002349256072193384
5,general,weights_l2,layers.0.weight,13.002966357422766
5,general,weights_l2,layers.1.weight,11.672394386980558
5,general,weights_l2,layers.2.weight,9.730793191677446
5,train,zero_terms,,0.0
5,train,softmax_collapse,,0.0
6,train,loss,,4.218476720039769
6,test,loss,,4.746066473999237
6,train,accuracy,,0.06383395195007324
6,test,accuracy,,0.005612111650407314
6,general,weights_l2,layers.0.weight,13.82019306236252
6,general,weights_l2,layers.1.weight,12.073128568920676
6,general,weights_l2,layers.2.weight,10.286444347468368
6,train,zero_terms,,0.0
6,train,softmax_collapse,,0.0
7,train,loss,,3.951536539981207
7,test,loss,,4.228776751188012
7,train,accuracy,,0.09496769309043884
7,test,accuracy,,0.012268336489796638
7,general,weights_l2,layers.0.weight,16.166206219727307
7,general,weights_l2,layers.1.weight,13.367497520936208
7,general,weights_l2,layers.2.weight,11.523205862251777
7,train,zero_terms,,0.0
7,train,softmax_collapse,,0.0
8,train,loss,,3.864982755058727
8,test,loss,,4.189208516355799
8,train,accuracy,,0.09340120851993561
8,test,accuracy,,0.013703993521630764
8,general,weights_l2,layers.0.weight,17.3167503093795
8,general,weights_l2,layers.1.weight,14.251854051503186
8,general,weights_l2,layers.2.weight,12.406727546315619
8,train,zero_terms,,0.0
8,train,softmax_collapse,,0.0
9,train,loss,,3.7716746081851573
9,test,loss,,4.195639524731836
9,train,accuracy,,0.10417074710130692
9,test,accuracy,,0.015139649622142315
9,general,weights_l2,layers.0.weight,18.51890901286993
9,general,weights_l2,layers.1.weight,15.46391676236676
9,general,weights_l2,layers.2.weight,13.963046064872296
9,train,zero_terms,,0.0
9,train,softmax_collapse,,0.0
10,train,loss,,3.68975686873496
10,test,loss,,4.269897650734238
10,train,accuracy,,0.10045035928487778
10,test,accuracy,,0.01696684956550598
10,general,weights_l2,layers.0.weight,20.200443725213173
10,general,weights_l2,layers.1.weight,17.15449774609915
10,general,weights_l2,layers.2.weight,15.997227688812206
